Category,SubCategory,Drink Name,Description,Capacity,Price (KES),ABV,Origin,Special Notes
Smokes,Nicotine Pouches,Calm Spearmint Nicotine Pouches,Nicotine pouches,20 Pouches,995,,Sweden,
Smokes,Nicotine Pouches,Red Reaper Nicotine Pouch,Nicotine pouches,25 Pouches,1200,,Kenya,
Smokes,Nicotine Pouches,Sky Nicotine Pouches Mint,Nicotine pouches,Packet,600,,Kenya,
Smokes,Nicotine Pouches,Calm Mango Nicotine Pouch,Nicotine pouches,20 Pouches,995,,Sweden,
Smokes,Nicotine Pouches,Gold Nicotine Pouches,Nicotine pouches,20 Pouches,650,,Kenya,
Smokes,Nicotine Pouches,Calm Lemon Nicotine Pouches,Nicotine pouches,20 Pouches,995,,Sweden,
Smokes,Nicotine Pouches,Pablo Nicotine Pouches,Nicotine pouches,1 Piece,1500,,Kenya,
Smokes,Nicotine Pouches,Kiekko Nicotine Pouches,Nicotine pouches,20 Pouches,1495,,Kenya,
Smokes,Nicotine Pouches,Velo Mighty Peppermint,Nicotine pouches,20 Pouches,1495,,Sweden,
Smokes,Nicotine Pouches,Velo Jade Green Strength 3 Nicotine Pouches,Nicotine pouches,20 Pouches,995,,Sweden,
Smokes,Nicotine Pouches,Goat Nicotine Pouch,Nicotine pouches,20 Pouches,1495,,Czech,
Smokes,Nicotine Pouches,Calm Cool Mint,Nicotine pouches,20 Pouches,995,,Sweden,
Smokes,Nicotine Pouches,Velo Polar Mint Nicotine Pouches,Nicotine pouches,20 Pouches,1500,,Sweden,
Smokes,Nicotine Pouches,Calm Nicotine Raspberry,Nicotine pouches,20 Pouches,995,,Sweden,
Smokes,Nicotine Pouches,Storm Nicotine Mango,Nicotine pouches,20 Pouches,650,,India,
Smokes,Nicotine Pouches,Garant Nicotine Pouches,Nicotine pouches,1 Piece,1500,,Kenya,
Smokes,Nicotine Pouches,Storm Nicotine Pouch Tropical,Nicotine pouches,20 Pouches,650,,India,
Smokes,Nicotine Pouches,Velo Icy Berries,Nicotine pouches,20 Pouches,1500,,Sweden,
Smokes,Nicotine Pouches,Clew Nicotine Pouches,Nicotine pouches,1 Piece,1500,,Kenya,
Smokes,Nicotine Pouches,Velo Peppermint Storm,Nicotine pouches,20 Pouches,1500,,Sweden,
Smokes,Nicotine Pouches,Pablo Ice Cold,Nicotine pouches,20 Pouches,1500,,Kenya,
Smokes,Nicotine Pouches,Velo Lime Flame,Nicotine pouches,20 Pouches,1500,,Sweden,
Smokes,Nicotine Pouches,Velo Mango Flame,Nicotine pouches,20 Pouches,1395,,Sweden,
Smokes,Nicotine Pouches,Paz Nicotine Pouches,Nicotine pouches,25 Pouches,1199,,India,
Smokes,Vapes,Beast vapes Strawberry,Vape,1500 Puffs,1800,,Kenya,
Smokes,Vapes,Tugboat Lush Ice Vape,Vape,2500 PUFFS,2000,,Kenya,
Smokes,Vapes,Solo X Grape Ice,Vape,1500 Puffs,1800,,Kenya,
Smokes,Vapes,Solo X Tropical,Vape,1500 Puffs,1800,,Kenya,
Smokes,Vapes,Tugboat Vape Grape Ice,Vape,2500 PUFFS,2000,,Kenya,
Smokes,Vapes,Tugboat Strawberry Watermelon Vape,Vape,2500 PUFFS,2000,,Kenya,
Smokes,Vapes,Akso Strawberry Ice,Vape,2600 puffs,1500,,Kenya,
Smokes,Vapes,Beast Vape Cool Mint,Vape,1500 Puffs,1800,,Kenya,
Smokes,Vapes,Vazo Ice Super Mint,Vape,5000 Puffs,1800,,Kenya,
Smokes,Vapes,Hart Vape Spritz 3500,Vape,3500 puffs,1795,,Kenya,
Smokes,Vapes,Beast Vape Mango Ice,Vape,1500 Puffs,1800,,Kenya,
Smokes,Vapes,Akso Mango Ice,Vape,2600 puffs,1500,,Kenya,
Smokes,Vapes,Tugboat Lemon Grapefruit,Vape,2500 PUFFS,2000,,Kenya,
Smokes,Vapes,Akso Energy Drink,Vape,2600 puffs,1500,,Kenya,
Smokes,Vapes,Akso Melon Ice,Vape,3500 puffs,1800,,Kenya,
Smokes,Vapes,Akso Strawberry pitaya,Vape,2600 puffs,1500,,Kenya,
Smokes,Vapes,Akso Aloe Grapes,Vape,3500 puffs,1800,,Kenya,
Smokes,Vapes,Akso Aloe Grapes,Vape,8000 puffs,2500,,Kenya,
Smokes,Other,Baileys Luxury Fudge Chocolate,Chocolate,Packet,1950,,Kenya,
Smokes,Other,Garant Extreme,Nicotine pouches,20 Pouches,1495,,Kenya,
Smokes,Other,Chupa Chup Drinks,Drink,330ml,250,,Kenya,
