Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Soft Drinks,All Soft Drinks,Mirinda Orange,Orange flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Orange,Orange flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Orange,Orange flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Grape,Grape flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Grape,Grape flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Grape,Grape flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Grape,Grape flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Apple,Apple flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Apple,Apple flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Apple,Apple flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Apple,Apple flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Orange,Orange flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Orange,Orange flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Orange,Orange flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Orange,Orange flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Apple,Apple flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Apple,Apple flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Apple,Apple flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Apple,Apple flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Blackcurrant,Blackcurrant flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Blackcurrant,Blackcurrant flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Blackcurrant,Blackcurrant flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Tango Blackcurrant,Blackcurrant flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Tonic Water,Tonic water with quinine,150,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Tonic Water,Tonic water with quinine,250,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Tonic Water,Tonic water with quinine,400,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Tonic Water,Tonic water with quinine,500,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Ginger Ale,Ginger ale soft drink,150,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Ginger Ale,Ginger ale soft drink,250,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Ginger Ale,Ginger ale soft drink,400,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Ginger Ale,Ginger ale soft drink,500,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Lemonade,Lemonade soft drink,150,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Lemonade,Lemonade soft drink,250,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Lemonade,Lemonade soft drink,400,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Schweppes Lemonade,Lemonade soft drink,500,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Ginger Ale,Ginger ale soft drink,150,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Ginger Ale,Ginger ale soft drink,250,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Ginger Ale,Ginger ale soft drink,400,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Ginger Ale,Ginger ale soft drink,500,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Club Soda,Club soda soft drink,150,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Club Soda,Club soda soft drink,250,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Club Soda,Club soda soft drink,400,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Club Soda,Club soda soft drink,500,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Tonic Water,Tonic water with quinine,150,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Tonic Water,Tonic water with quinine,250,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Tonic Water,Tonic water with quinine,400,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Canada Dry Tonic Water,Tonic water with quinine,500,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Red Bull Energy Drink,Energy drink with caffeine,200,250ML,0,Austria,Popular
Soft Drinks,All Soft Drinks,Red Bull Energy Drink,Energy drink with caffeine,350,473ML,0,Austria,Popular
Soft Drinks,All Soft Drinks,Red Bull Energy Drink,Energy drink with caffeine,500,750ML,0,Austria,Popular
Soft Drinks,All Soft Drinks,Red Bull Sugar Free,Sugar-free energy drink,200,250ML,0,Austria,
Soft Drinks,All Soft Drinks,Red Bull Sugar Free,Sugar-free energy drink,350,473ML,0,Austria,
Soft Drinks,All Soft Drinks,Red Bull Sugar Free,Sugar-free energy drink,500,750ML,0,Austria,
Soft Drinks,All Soft Drinks,Monster Energy Drink,Energy drink with caffeine,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Monster Energy Drink,Energy drink with caffeine,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Monster Energy Drink,Energy drink with caffeine,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Monster Zero Sugar,Zero sugar energy drink,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Monster Zero Sugar,Zero sugar energy drink,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Monster Zero Sugar,Zero sugar energy drink,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Rockstar Energy Drink,Energy drink with caffeine,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Rockstar Energy Drink,Energy drink with caffeine,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Rockstar Energy Drink,Energy drink with caffeine,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Rockstar Zero Sugar,Zero sugar energy drink,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Rockstar Zero Sugar,Zero sugar energy drink,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Rockstar Zero Sugar,Zero sugar energy drink,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Lucozade Energy Drink,Energy drink with glucose,200,500ML,0,UK,
Soft Drinks,All Soft Drinks,Lucozade Energy Drink,Energy drink with glucose,350,750ML,0,UK,
Soft Drinks,All Soft Drinks,Lucozade Energy Drink,Energy drink with glucose,500,1L,0,UK,
Soft Drinks,All Soft Drinks,Lucozade Sport,Isotonic sports drink,200,500ML,0,UK,
Soft Drinks,All Soft Drinks,Lucozade Sport,Isotonic sports drink,350,750ML,0,UK,
Soft Drinks,All Soft Drinks,Lucozade Sport,Isotonic sports drink,500,1L,0,UK,
Soft Drinks,All Soft Drinks,Gatorade Lemon Lime,Electrolyte sports drink,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Lemon Lime,Electrolyte sports drink,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Lemon Lime,Electrolyte sports drink,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Orange,Electrolyte sports drink,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Orange,Electrolyte sports drink,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Orange,Electrolyte sports drink,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Blue,Electrolyte sports drink,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Blue,Electrolyte sports drink,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Gatorade Blue,Electrolyte sports drink,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Powerade Lemon Lime,Electrolyte sports drink,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Lemon Lime,Electrolyte sports drink,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Lemon Lime,Electrolyte sports drink,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Powerade Orange,Electrolyte sports drink,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Orange,Electrolyte sports drink,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Orange,Electrolyte sports drink,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Powerade Blue,Electrolyte sports drink,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Blue,Electrolyte sports drink,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Blue,Electrolyte sports drink,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Powerade Zero Sugar,Zero sugar electrolyte drink,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Zero Sugar,Zero sugar electrolyte drink,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Powerade Zero Sugar,Zero sugar electrolyte drink,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Lemon,Vitamin enhanced water,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Lemon,Vitamin enhanced water,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Lemon,Vitamin enhanced water,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Orange,Vitamin enhanced water,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Orange,Vitamin enhanced water,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Orange,Vitamin enhanced water,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Berry,Vitamin enhanced water,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Berry,Vitamin enhanced water,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Berry,Vitamin enhanced water,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Zero Sugar,Zero sugar vitamin water,250,500ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Zero Sugar,Zero sugar vitamin water,400,750ML,0,USA,
Soft Drinks,All Soft Drinks,Vitamin Water Zero Sugar,Zero sugar vitamin water,600,1L,0,USA,
Soft Drinks,All Soft Drinks,Smart Water,Electrolyte enhanced water,200,500ML,0,USA,
Soft Drinks,All Soft Drinks,Smart Water,Electrolyte enhanced water,350,750ML,0,USA,
Soft Drinks,All Soft Drinks,Smart Water,Electrolyte enhanced water,500,1L,0,USA,
Soft Drinks,All Soft Drinks,Smart Water,Electrolyte enhanced water,800,1.5L,0,USA,
Soft Drinks,All Soft Drinks,Smart Water,Electrolyte enhanced water,1000,2L,0,USA,
Soft Drinks,All Soft Drinks,Evian Natural Spring Water,Premium spring water,300,500ML,0,France,
Soft Drinks,All Soft Drinks,Evian Natural Spring Water,Premium spring water,500,750ML,0,France,
Soft Drinks,All Soft Drinks,Evian Natural Spring Water,Premium spring water,700,1L,0,France,
Soft Drinks,All Soft Drinks,Evian Natural Spring Water,Premium spring water,1000,1.5L,0,France,
Soft Drinks,All Soft Drinks,Evian Natural Spring Water,Premium spring water,1200,2L,0,France,
Soft Drinks,All Soft Drinks,Perrier Sparkling Water,Natural sparkling water,250,330ML,0,France,
Soft Drinks,All Soft Drinks,Perrier Sparkling Water,Natural sparkling water,400,500ML,0,France,
Soft Drinks,All Soft Drinks,Perrier Sparkling Water,Natural sparkling water,600,750ML,0,France,
Soft Drinks,All Soft Drinks,Perrier Sparkling Water,Natural sparkling water,800,1L,0,France,
Soft Drinks,All Soft Drinks,Perrier Sparkling Water,Natural sparkling water,1000,1.5L,0,France,
Soft Drinks,All Soft Drinks,Perrier Sparkling Water,Natural sparkling water,1200,2L,0,France,
Soft Drinks,All Soft Drinks,San Pellegrino Sparkling Water,Italian sparkling water,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Sparkling Water,Italian sparkling water,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Sparkling Water,Italian sparkling water,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Sparkling Water,Italian sparkling water,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Sparkling Water,Italian sparkling water,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Sparkling Water,Italian sparkling water,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lemon,Italian sparkling water with lemon,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lemon,Italian sparkling water with lemon,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lemon,Italian sparkling water with lemon,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lemon,Italian sparkling water with lemon,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lemon,Italian sparkling water with lemon,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lemon,Italian sparkling water with lemon,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Orange,Italian sparkling water with orange,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Orange,Italian sparkling water with orange,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Orange,Italian sparkling water with orange,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Orange,Italian sparkling water with orange,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Orange,Italian sparkling water with orange,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Orange,Italian sparkling water with orange,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Grapefruit,Italian sparkling water with grapefruit,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Grapefruit,Italian sparkling water with grapefruit,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Grapefruit,Italian sparkling water with grapefruit,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Grapefruit,Italian sparkling water with grapefruit,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Grapefruit,Italian sparkling water with grapefruit,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Grapefruit,Italian sparkling water with grapefruit,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pomegranate,Italian sparkling water with pomegranate,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pomegranate,Italian sparkling water with pomegranate,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pomegranate,Italian sparkling water with pomegranate,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pomegranate,Italian sparkling water with pomegranate,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pomegranate,Italian sparkling water with pomegranate,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pomegranate,Italian sparkling water with pomegranate,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Blood Orange,Italian sparkling water with blood orange,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Blood Orange,Italian sparkling water with blood orange,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Blood Orange,Italian sparkling water with blood orange,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Blood Orange,Italian sparkling water with blood orange,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Blood Orange,Italian sparkling water with blood orange,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Blood Orange,Italian sparkling water with blood orange,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Cherry,Italian sparkling water with cherry,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Cherry,Italian sparkling water with cherry,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Cherry,Italian sparkling water with cherry,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Cherry,Italian sparkling water with cherry,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Cherry,Italian sparkling water with cherry,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Cherry,Italian sparkling water with cherry,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Peach,Italian sparkling water with peach,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Peach,Italian sparkling water with peach,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Peach,Italian sparkling water with peach,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Peach,Italian sparkling water with peach,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Peach,Italian sparkling water with peach,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Peach,Italian sparkling water with peach,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Strawberry,Italian sparkling water with strawberry,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Strawberry,Italian sparkling water with strawberry,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Strawberry,Italian sparkling water with strawberry,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Strawberry,Italian sparkling water with strawberry,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Strawberry,Italian sparkling water with strawberry,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Strawberry,Italian sparkling water with strawberry,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Mango,Italian sparkling water with mango,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Mango,Italian sparkling water with mango,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Mango,Italian sparkling water with mango,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Mango,Italian sparkling water with mango,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Mango,Italian sparkling water with mango,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Mango,Italian sparkling water with mango,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pineapple,Italian sparkling water with pineapple,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pineapple,Italian sparkling water with pineapple,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pineapple,Italian sparkling water with pineapple,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pineapple,Italian sparkling water with pineapple,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pineapple,Italian sparkling water with pineapple,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Pineapple,Italian sparkling water with pineapple,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Coconut,Italian sparkling water with coconut,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Coconut,Italian sparkling water with coconut,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Coconut,Italian sparkling water with coconut,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Coconut,Italian sparkling water with coconut,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Coconut,Italian sparkling water with coconut,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Coconut,Italian sparkling water with coconut,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Passion Fruit,Italian sparkling water with passion fruit,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Passion Fruit,Italian sparkling water with passion fruit,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Passion Fruit,Italian sparkling water with passion fruit,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Passion Fruit,Italian sparkling water with passion fruit,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Passion Fruit,Italian sparkling water with passion fruit,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Passion Fruit,Italian sparkling water with passion fruit,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Kiwi,Italian sparkling water with kiwi,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Kiwi,Italian sparkling water with kiwi,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Kiwi,Italian sparkling water with kiwi,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Kiwi,Italian sparkling water with kiwi,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Kiwi,Italian sparkling water with kiwi,1000,1.5L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Kiwi,Italian sparkling water with kiwi,1200,2L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lime,Italian sparkling water with lime,250,330ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lime,Italian sparkling water with lime,400,500ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lime,Italian sparkling water with lime,600,750ML,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lime,Italian sparkling water with lime,800,1L,0,Italy,
Soft Drinks,All Soft Drinks,San Pellegrino Lime,Italian sparkling water with lime,1000,1.5L,0,Italy,
