Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Liqueur,All Liqueur,Yellow Chartreuse,Herbal liqueur,5000,750ML,40,France,
Liqueur,All Liqueur,Grand Marnier Cordon Rouge,Orange cognac liqueur,4500,750ML,40,France,
Liqueur,All Liqueur,Grand Marnier Cordon Jaune,Orange cognac liqueur,3800,750ML,40,France,
Liqueur,All Liqueur,Grand Marnier Cordon Bleu,Orange cognac liqueur,6500,750ML,40,France,
Liqueur,All Liqueur,Cointreau Noir,Orange cognac liqueur,5500,750ML,40,France,
Liqueur,All Liqueur,Cointreau Blood Orange,Blood orange liqueur,3800,750ML,40,France,
Liqueur,All Liqueur,Cointreau Rose,Rose liqueur,3800,750ML,20,France,
Liqueur,All Liqueur,Patron Citronge,Orange liqueur,4500,750ML,40,Mexico,
Liqueur,All Liqueur,Patron XO Cafe,Coffee tequila liqueur,5500,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Dark,Coffee tequila liqueur,5500,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Incendio,Spicy coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Cocoa,Cocoa coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Vanilla,Vanilla coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Mocha,Mocha coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Caramel,Caramel coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Hazelnut,Hazelnut coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Cinnamon,Cinnamon coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Peppermint,Peppermint coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Pumpkin,Pumpkin coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Gingerbread,Gingerbread coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Eggnog,Eggnog coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Irish Cream,Irish cream coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Salted Caramel,Salted caramel coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe White Chocolate,White chocolate coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Dark Chocolate,Dark chocolate coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Milk Chocolate,Milk chocolate coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Espresso,Espresso coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Decaf,Decaf coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Organic,Organic coffee tequila liqueur,6500,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Fair Trade,Fair trade coffee tequila liqueur,6500,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Single Origin,Single origin coffee tequila liqueur,7000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Cold Brew,Cold brew coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Nitro,Nitro coffee tequila liqueur,6500,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Iced,Iced coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Hot,Hot coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Frappuccino,Frappuccino coffee tequila liqueur,6500,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Latte,Latte coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Cappuccino,Cappuccino coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Macchiato,Macchiato coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Americano,Americano coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Cortado,Cortado coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Ristretto,Ristretto coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Lungo,Lungo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Doppio,Doppio coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Triplo,Triplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Quadruplo,Quadruplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Quintuplo,Quintuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Sextuplo,Sextuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Septuplo,Septuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Octuplo,Octuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Nonuplo,Nonuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Decuplo,Decuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Undecuplo,Undecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Duodecuplo,Duodecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Tredecuplo,Tredecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Quattuordecuplo,Quattuordecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Quindecuplo,Quindecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Sedecuplo,Sedecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Septendecuplo,Septendecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Octodecuplo,Octodecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Novendecuplo,Novendecuplo coffee tequila liqueur,6000,750ML,35,Mexico,
Liqueur,All Liqueur,Patron XO Cafe Vigesuplo,Vigesuplo coffee tequila liqueur,6000,750ML,35,Mexico,
