t=2026-01-12T04:55:29+0300 lvl=info msg="no configuration paths supplied"
t=2026-01-12T04:55:29+0300 lvl=info msg="using configuration at default config path" path="/Users/maria/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-12T04:55:29+0300 lvl=info msg="open config file" path="/Users/maria/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-12T05:39:47+0300 lvl=info msg="join connections" obj=join id=a66a917df14c l=[::1]:5001 r=102.0.13.212:53254
t=2026-01-12T05:39:47+0300 lvl=info msg="join connections" obj=join id=1ae896538c38 l=[::1]:5001 r=102.0.13.212:50310
t=2026-01-12T05:42:52+0300 lvl=info msg="join connections" obj=join id=d8753cc3f623 l=[::1]:5001 r=102.0.13.212:53438
t=2026-01-12T05:42:53+0300 lvl=info msg="join connections" obj=join id=7e7721989728 l=[::1]:5001 r=102.0.13.212:53438
t=2026-01-12T05:42:53+0300 lvl=info msg="join connections" obj=join id=53b76330534e l=[::1]:5001 r=102.0.13.212:53438
t=2026-01-12T05:42:53+0300 lvl=info msg="join connections" obj=join id=1a57831526a3 l=[::1]:5001 r=102.0.13.212:53438
t=2026-01-12T05:42:55+0300 lvl=info msg="join connections" obj=join id=cc2974854248 l=[::1]:5001 r=102.0.13.212:53458
t=2026-01-12T05:45:25+0300 lvl=info msg="join connections" obj=join id=8676c5f02487 l=[::1]:5001 r=102.0.13.212:53796
t=2026-01-12T05:45:26+0300 lvl=info msg="join connections" obj=join id=654a7f0a00f4 l=[::1]:5001 r=102.0.13.212:43100
t=2026-01-12T05:50:43+0300 lvl=info msg="join connections" obj=join id=2844d5d1fb7a l=[::1]:5001 r=102.0.13.212:42476
t=2026-01-12T05:50:43+0300 lvl=info msg="join connections" obj=join id=9243020cbedb l=[::1]:5001 r=102.0.13.212:42462
t=2026-01-12T05:50:43+0300 lvl=info msg="join connections" obj=join id=97b37bb8ff9b l=[::1]:5001 r=102.0.13.212:42476
t=2026-01-12T05:50:43+0300 lvl=info msg="join connections" obj=join id=a7bf065fd245 l=[::1]:5001 r=102.0.13.212:42476
t=2026-01-12T05:51:17+0300 lvl=info msg="join connections" obj=join id=6dbac2038145 l=[::1]:5001 r=102.0.13.212:42476
t=2026-01-12T06:01:38+0300 lvl=info msg="join connections" obj=join id=3ac67d59f5f6 l=[::1]:5001 r=102.0.13.212:38148
t=2026-01-12T06:06:25+0300 lvl=warn msg="failed to open private leg" id=a7b26ab3507c privaddr=localhost:5001 err="dial tcp [::1]:5001: connect: connection refused"
t=2026-01-12T06:06:28+0300 lvl=info msg="join connections" obj=join id=43d05cb794bb l=[::1]:5001 r=102.0.13.212:55719
t=2026-01-12T06:08:45+0300 lvl=info msg="join connections" obj=join id=6cc358d09700 l=[::1]:5001 r=102.0.13.212:32960
t=2026-01-12T06:08:45+0300 lvl=info msg="join connections" obj=join id=02aa687b20a0 l=[::1]:5001 r=102.0.13.212:32960
t=2026-01-12T06:08:45+0300 lvl=info msg="join connections" obj=join id=47a1b99ff395 l=[::1]:5001 r=102.0.13.212:32960
t=2026-01-12T06:08:45+0300 lvl=info msg="join connections" obj=join id=56769c7530c5 l=[::1]:5001 r=102.0.13.212:32960
t=2026-01-12T06:08:47+0300 lvl=info msg="join connections" obj=join id=81504b9f840d l=[::1]:5001 r=102.0.13.212:32988
t=2026-01-12T06:08:55+0300 lvl=info msg="join connections" obj=join id=7b8f712c8316 l=[::1]:5001 r=102.0.13.212:32960
t=2026-01-12T06:08:59+0300 lvl=info msg="join connections" obj=join id=8ed414157029 l=[::1]:5001 r=102.0.13.212:59926
t=2026-01-12T06:08:59+0300 lvl=info msg="join connections" obj=join id=8408a6cda0bd l=[::1]:5001 r=102.0.13.212:59926
t=2026-01-12T06:08:59+0300 lvl=info msg="join connections" obj=join id=6a5a1072bd8d l=[::1]:5001 r=102.0.13.212:59930
t=2026-01-12T06:08:59+0300 lvl=info msg="join connections" obj=join id=76380484e699 l=[::1]:5001 r=102.0.13.212:59926
t=2026-01-12T06:08:59+0300 lvl=info msg="join connections" obj=join id=0c4091e130bf l=[::1]:5001 r=102.0.13.212:59926
t=2026-01-12T06:10:21+0300 lvl=info msg="join connections" obj=join id=bb3f50916876 l=[::1]:5001 r=102.0.13.212:40346
t=2026-01-12T06:10:21+0300 lvl=info msg="join connections" obj=join id=a551add0be38 l=[::1]:5001 r=102.0.13.212:40346
t=2026-01-12T06:10:21+0300 lvl=info msg="join connections" obj=join id=c3675e726b38 l=[::1]:5001 r=102.0.13.212:40346
t=2026-01-12T06:10:21+0300 lvl=info msg="join connections" obj=join id=d2ca66e4a322 l=[::1]:5001 r=102.0.13.212:40346
t=2026-01-12T06:10:23+0300 lvl=info msg="join connections" obj=join id=feea69abae98 l=[::1]:5001 r=102.0.13.212:40358
t=2026-01-12T06:11:54+0300 lvl=info msg="join connections" obj=join id=fc6d881ee743 l=[::1]:5001 r=102.0.13.212:56288
t=2026-01-12T06:11:54+0300 lvl=info msg="join connections" obj=join id=ced010919ec9 l=[::1]:5001 r=102.0.13.212:56288
t=2026-01-12T06:11:54+0300 lvl=info msg="join connections" obj=join id=ae7deb8a62e4 l=[::1]:5001 r=102.0.13.212:56288
t=2026-01-12T06:11:54+0300 lvl=info msg="join connections" obj=join id=0ec0bd13a8df l=[::1]:5001 r=102.0.13.212:56288
t=2026-01-12T06:11:56+0300 lvl=info msg="join connections" obj=join id=fe357c125456 l=[::1]:5001 r=102.0.13.212:56304
t=2026-01-12T06:12:08+0300 lvl=info msg="join connections" obj=join id=6eff5b0c1953 l=[::1]:5001 r=102.0.13.212:56288
t=2026-01-12T06:13:30+0300 lvl=info msg="join connections" obj=join id=30a22086ebc5 l=[::1]:5001 r=102.0.13.212:56288
t=2026-01-12T06:14:00+0300 lvl=info msg="join connections" obj=join id=4207454b161c l=[::1]:5001 r=102.0.13.212:44196
t=2026-01-12T06:14:01+0300 lvl=info msg="join connections" obj=join id=9c1f33e5bb6c l=[::1]:5001 r=102.0.13.212:44196
t=2026-01-12T06:14:01+0300 lvl=info msg="join connections" obj=join id=99cf99694eb3 l=[::1]:5001 r=102.0.13.212:44196
t=2026-01-12T06:14:01+0300 lvl=info msg="join connections" obj=join id=a01357f429f1 l=[::1]:5001 r=102.0.13.212:44196
t=2026-01-12T06:14:03+0300 lvl=info msg="join connections" obj=join id=cd7030ff289b l=[::1]:5001 r=102.0.13.212:44228
t=2026-01-12T06:15:09+0300 lvl=info msg="join connections" obj=join id=808120fff3da l=[::1]:5001 r=102.0.13.212:44196
t=2026-01-12T06:15:35+0300 lvl=info msg="join connections" obj=join id=5328c55e3964 l=[::1]:5001 r=102.0.13.212:44196
t=2026-01-12T06:21:41+0300 lvl=info msg="join connections" obj=join id=cbd0c1eea4fd l=[::1]:5001 r=102.0.13.212:45178
t=2026-01-12T06:21:41+0300 lvl=info msg="join connections" obj=join id=a94b425afe8d l=[::1]:5001 r=102.0.13.212:45178
t=2026-01-12T06:21:41+0300 lvl=info msg="join connections" obj=join id=7107a2b7c1a6 l=[::1]:5001 r=102.0.13.212:45178
t=2026-01-12T06:21:41+0300 lvl=info msg="join connections" obj=join id=a0b9e4abcffe l=[::1]:5001 r=102.0.13.212:45178
t=2026-01-12T06:21:44+0300 lvl=info msg="join connections" obj=join id=a1baf1d05b46 l=[::1]:5001 r=102.0.13.212:45216
t=2026-01-12T06:22:19+0300 lvl=info msg="join connections" obj=join id=5a67dad86171 l=[::1]:5001 r=102.0.13.212:45178
t=2026-01-12T06:23:52+0300 lvl=info msg="join connections" obj=join id=92bb0561f910 l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:23:52+0300 lvl=info msg="join connections" obj=join id=ae9d7c7292dc l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:23:52+0300 lvl=info msg="join connections" obj=join id=3ee609c83ccb l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:23:52+0300 lvl=info msg="join connections" obj=join id=1c4b581e2c24 l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:23:55+0300 lvl=info msg="join connections" obj=join id=1896c2410eda l=[::1]:5001 r=102.0.13.212:57350
t=2026-01-12T06:26:37+0300 lvl=info msg="join connections" obj=join id=2554cf63cabf l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:30:21+0300 lvl=info msg="join connections" obj=join id=a0d3a1d9ae17 l=[::1]:5001 r=102.0.13.212:58154
t=2026-01-12T06:30:21+0300 lvl=info msg="join connections" obj=join id=42e8f9f8d07b l=[::1]:5001 r=102.0.13.212:57860
t=2026-01-12T06:30:30+0300 lvl=info msg="join connections" obj=join id=3fc36fdf6a42 l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:30:30+0300 lvl=info msg="join connections" obj=join id=cba485f635b3 l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:30:50+0300 lvl=info msg="join connections" obj=join id=0df683fb8a76 l=[::1]:5001 r=102.0.13.212:57336
t=2026-01-12T06:31:21+0300 lvl=info msg="join connections" obj=join id=0fbcc4851270 l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:31:21+0300 lvl=info msg="join connections" obj=join id=89a6d1e8b998 l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:31:21+0300 lvl=info msg="join connections" obj=join id=551fd3cef31b l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:31:21+0300 lvl=info msg="join connections" obj=join id=a33d42ce546c l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:31:21+0300 lvl=info msg="join connections" obj=join id=cdc7f91fca69 l=[::1]:5001 r=102.0.13.212:35932
t=2026-01-12T06:31:35+0300 lvl=info msg="join connections" obj=join id=c624d512e9bd l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:31:35+0300 lvl=info msg="join connections" obj=join id=cdeb5d158ddc l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:32:29+0300 lvl=info msg="join connections" obj=join id=cd763b0b7775 l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:32:35+0300 lvl=info msg="join connections" obj=join id=c78cc585882e l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:32:35+0300 lvl=info msg="join connections" obj=join id=f05e4970f632 l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:33:23+0300 lvl=info msg="join connections" obj=join id=3fe8c5a44b5d l=[::1]:5001 r=102.0.13.212:35944
t=2026-01-12T06:37:17+0300 lvl=info msg="join connections" obj=join id=85a9a9ad22b0 l=[::1]:5001 r=102.0.13.212:48756
t=2026-01-12T06:37:17+0300 lvl=info msg="join connections" obj=join id=baee4258d8cf l=[::1]:5001 r=102.0.13.212:48756
t=2026-01-12T06:37:17+0300 lvl=info msg="join connections" obj=join id=137e3ff38bb8 l=[::1]:5001 r=102.0.13.212:48756
t=2026-01-12T06:37:17+0300 lvl=info msg="join connections" obj=join id=adea9668a5e6 l=[::1]:5001 r=102.0.13.212:48756
t=2026-01-12T06:37:20+0300 lvl=info msg="join connections" obj=join id=ca472a196a3c l=[::1]:5001 r=102.0.13.212:43980
t=2026-01-12T06:37:28+0300 lvl=info msg="join connections" obj=join id=eaf1d2231efc l=[::1]:5001 r=102.0.13.212:48756
t=2026-01-12T06:37:28+0300 lvl=info msg="join connections" obj=join id=d4ed522bd269 l=[::1]:5001 r=102.0.13.212:48756
t=2026-01-12T06:38:06+0300 lvl=info msg="join connections" obj=join id=65ae55ea420a l=[::1]:5001 r=102.0.13.212:48756
t=2026-01-12T06:38:35+0300 lvl=info msg="join connections" obj=join id=7832910f9eac l=[::1]:5001 r=102.0.13.212:58982
t=2026-01-12T06:38:35+0300 lvl=info msg="join connections" obj=join id=ebd3e3270604 l=[::1]:5001 r=102.0.13.212:52830
t=2026-01-12T06:41:16+0300 lvl=info msg="join connections" obj=join id=56c159b16131 l=[::1]:5001 r=102.0.13.212:45096
t=2026-01-12T06:41:17+0300 lvl=info msg="join connections" obj=join id=5a1eaae649f4 l=[::1]:5001 r=102.0.13.212:45096
t=2026-01-12T06:41:17+0300 lvl=info msg="join connections" obj=join id=1f739ac8b6de l=[::1]:5001 r=102.0.13.212:45096
t=2026-01-12T06:41:17+0300 lvl=info msg="join connections" obj=join id=8136a182555d l=[::1]:5001 r=102.0.13.212:45096
t=2026-01-12T06:41:19+0300 lvl=info msg="join connections" obj=join id=577afba8247e l=[::1]:5001 r=102.0.13.212:50078
t=2026-01-12T06:41:23+0300 lvl=info msg="join connections" obj=join id=832a847bf6cf l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:41:23+0300 lvl=info msg="join connections" obj=join id=1b5812a1cf49 l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:41:23+0300 lvl=info msg="join connections" obj=join id=41e04111803b l=[::1]:5001 r=102.0.13.212:50086
t=2026-01-12T06:41:23+0300 lvl=info msg="join connections" obj=join id=56c31be9b952 l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:41:23+0300 lvl=info msg="join connections" obj=join id=64e20bca0724 l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:41:23+0300 lvl=info msg="join connections" obj=join id=014fd3de8764 l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:41:53+0300 lvl=info msg="join connections" obj=join id=9c857cb37bf4 l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:41:55+0300 lvl=info msg="join connections" obj=join id=004a2947328c l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:43:01+0300 lvl=info msg="join connections" obj=join id=6a784d9a4e4b l=[::1]:5001 r=102.0.13.212:50114
t=2026-01-12T06:51:34+0300 lvl=info msg="join connections" obj=join id=80bc0180f509 l=[::1]:5001 r=102.0.13.212:35076
t=2026-01-12T06:58:10+0300 lvl=info msg="join connections" obj=join id=548f817f7ddb l=[::1]:5001 r=102.0.13.212:41382
t=2026-01-12T06:58:20+0300 lvl=info msg="join connections" obj=join id=de96e1601153 l=[::1]:5001 r=102.0.13.212:41382
t=2026-01-12T06:58:20+0300 lvl=info msg="join connections" obj=join id=a3936224fc8d l=[::1]:5001 r=102.0.13.212:41382
t=2026-01-12T07:08:41+0300 lvl=info msg="join connections" obj=join id=4d82659a4b2b l=[::1]:5001 r=102.0.13.212:46234
t=2026-01-12T07:09:17+0300 lvl=info msg="join connections" obj=join id=b0a644b094e7 l=[::1]:5001 r=102.0.13.212:46234
t=2026-01-12T07:09:18+0300 lvl=info msg="join connections" obj=join id=6d5c1075d9dd l=[::1]:5001 r=102.0.13.212:46234
t=2026-01-12T07:09:50+0300 lvl=info msg="join connections" obj=join id=f9468a861df5 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:09:50+0300 lvl=info msg="join connections" obj=join id=915e16762ec7 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:09:50+0300 lvl=info msg="join connections" obj=join id=741da39985ff l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:09:50+0300 lvl=info msg="join connections" obj=join id=29ba2c37a3a8 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:09:53+0300 lvl=info msg="join connections" obj=join id=93d949ee10e0 l=[::1]:5001 r=102.0.13.212:42650
t=2026-01-12T07:09:57+0300 lvl=info msg="join connections" obj=join id=df030aaeee7d l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:09:57+0300 lvl=info msg="join connections" obj=join id=34984deb495d l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:10:42+0300 lvl=info msg="join connections" obj=join id=07b34edc02cc l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:10:43+0300 lvl=info msg="join connections" obj=join id=af81956b54f1 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:10:43+0300 lvl=info msg="join connections" obj=join id=6ac4e837bfde l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:10:43+0300 lvl=info msg="join connections" obj=join id=36cf9e21a355 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:11:17+0300 lvl=info msg="join connections" obj=join id=0a5e54bbdf3a l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:11:17+0300 lvl=info msg="join connections" obj=join id=e0509fa67131 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:11:17+0300 lvl=info msg="join connections" obj=join id=a4e16030bc7c l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:11:17+0300 lvl=info msg="join connections" obj=join id=935dd218b007 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:11:17+0300 lvl=info msg="join connections" obj=join id=1430f68775cd l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:11:18+0300 lvl=info msg="join connections" obj=join id=f042b6a6bc11 l=[::1]:5001 r=102.0.13.212:42614
t=2026-01-12T07:44:18+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=95891615ddff clientid=255486cce9e8232186e97cd7754bb2f5
t=2026-01-12T07:44:18+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=b2703614695c err="read tcp 192.168.0.102:49538->3.108.208.206:443: read: operation timed out"
t=2026-01-12T07:44:19+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:44:19+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:44:20+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:44:22+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:44:26+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:44:34+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:44:51+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:45:21+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:45:51+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:46:26+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-12T07:46:26+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-12T07:48:28+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=05f9540aef38 clientid=255486cce9e8232186e97cd7754bb2f5
t=2026-01-12T07:48:28+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=b2703614695c err="session closed"
t=2026-01-12T07:48:28+0300 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-01-12T07:48:31+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-12T07:48:31+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-12T09:45:47+0300 lvl=info msg="join connections" obj=join id=90b0cf05ac0b l=[::1]:5001 r=102.0.13.212:33278
t=2026-01-12T09:45:47+0300 lvl=info msg="join connections" obj=join id=162976693415 l=[::1]:5001 r=102.0.13.212:33278
t=2026-01-12T09:45:47+0300 lvl=info msg="join connections" obj=join id=b42906804bb6 l=[::1]:5001 r=102.0.13.212:33278
t=2026-01-12T09:45:47+0300 lvl=info msg="join connections" obj=join id=30b6b5f517ec l=[::1]:5001 r=102.0.13.212:33278
t=2026-01-12T09:45:49+0300 lvl=info msg="join connections" obj=join id=c8860667caeb l=[::1]:5001 r=102.0.13.212:33318
t=2026-01-12T09:46:01+0300 lvl=info msg="join connections" obj=join id=fe183a6d5850 l=[::1]:5001 r=102.0.13.212:33278
t=2026-01-12T09:46:05+0300 lvl=info msg="join connections" obj=join id=626f78648156 l=[::1]:5001 r=102.0.13.212:33278
t=2026-01-12T09:52:59+0300 lvl=info msg="join connections" obj=join id=554c6f4072ae l=[::1]:5001 r=102.0.13.212:58056
t=2026-01-12T09:52:59+0300 lvl=info msg="join connections" obj=join id=d9366b61ebe2 l=[::1]:5001 r=102.0.13.212:58056
t=2026-01-12T09:52:59+0300 lvl=info msg="join connections" obj=join id=811bf09cf790 l=[::1]:5001 r=102.0.13.212:58042
t=2026-01-12T09:52:59+0300 lvl=info msg="join connections" obj=join id=8f514b196e59 l=[::1]:5001 r=102.0.13.212:58056
t=2026-01-12T09:58:44+0300 lvl=info msg="join connections" obj=join id=4319f858c580 l=[::1]:5001 r=102.0.13.212:59092
t=2026-01-12T09:58:44+0300 lvl=info msg="join connections" obj=join id=0cb2a6ea4db0 l=[::1]:5001 r=102.0.13.212:59092
t=2026-01-12T09:58:44+0300 lvl=info msg="join connections" obj=join id=8db6b69e5167 l=[::1]:5001 r=102.0.13.212:59092
t=2026-01-12T09:58:44+0300 lvl=info msg="join connections" obj=join id=561ca053cad8 l=[::1]:5001 r=102.0.13.212:59092
t=2026-01-12T09:58:47+0300 lvl=info msg="join connections" obj=join id=20634d9b2db5 l=[::1]:5001 r=102.0.13.212:54210
t=2026-01-12T09:58:59+0300 lvl=info msg="join connections" obj=join id=915f9b11fdc3 l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T09:58:59+0300 lvl=info msg="join connections" obj=join id=8c4fc6fd6d31 l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T09:58:59+0300 lvl=info msg="join connections" obj=join id=b364aefd4037 l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T09:58:59+0300 lvl=info msg="join connections" obj=join id=3f98c284e08c l=[::1]:5001 r=102.0.13.212:43832
t=2026-01-12T09:58:59+0300 lvl=info msg="join connections" obj=join id=6e6a660e5c36 l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T09:59:08+0300 lvl=info msg="join connections" obj=join id=ea4116c42413 l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T09:59:08+0300 lvl=info msg="join connections" obj=join id=9305bcaca769 l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T10:00:22+0300 lvl=info msg="join connections" obj=join id=1ce820dcfbcf l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T10:00:22+0300 lvl=info msg="join connections" obj=join id=00337088353e l=[::1]:5001 r=102.0.13.212:43842
t=2026-01-12T10:02:36+0300 lvl=info msg="join connections" obj=join id=0e98d9f3b342 l=[::1]:5001 r=102.0.13.212:52296
t=2026-01-12T10:02:36+0300 lvl=info msg="join connections" obj=join id=ae73c623e9e6 l=[::1]:5001 r=102.0.13.212:52296
t=2026-01-12T10:02:36+0300 lvl=info msg="join connections" obj=join id=83256e8ffe34 l=[::1]:5001 r=102.0.13.212:52296
t=2026-01-12T10:02:36+0300 lvl=info msg="join connections" obj=join id=12eb3d7ca28e l=[::1]:5001 r=102.0.13.212:52296
t=2026-01-12T10:02:38+0300 lvl=info msg="join connections" obj=join id=61324663d17c l=[::1]:5001 r=102.0.13.212:52298
